amfi_code,fund_house,scheme_name,category,sub_category,plan,expense_ratio_pct,cagr_1yr,cagr_3yr,cagr_5yr,annualized_return,annualized_volatility,sharpe_ratio_calc,sortino_ratio_calc,alpha,beta,max_drawdown,drawdown_start,drawdown_trough,aum_crore,return_rank,sharpe_rank,alpha_rank,expense_rank_inverse,max_dd_rank_inverse,fund_score,tracking_error
102887,UTI Mutual Fund,UTI Flexi Cap Fund - Regular - Growth,Equity,Flexi Cap,Regular,1.64,0.135831349444816,0.25556187904126526,0.146781096489218,0.11627698030881493,0.13331254069504203,0.38463733450338444,0.571857543023029,0.16211256794033255,0.016682689437770827,-0.21539827112383225,2022-01-03,2022-07-04,17912,0.7,0.475,0.5,0.0375,0.275,46.1875,
149322,DSP Mutual Fund,DSP Top 100 Equity Fund - Regular - Growth,Equity,Large Cap,Regular,1.54,0.1811115252275146,0.18044206486636138,0.11695026862847113,0.09409879926976204,0.12141529821671088,0.23966336777285166,0.33295209417121113,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,2022-01-03,2022-02-04,41828,0.5,0.4,0.425,0.2625,0.625,43.6875,
125498,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Mid Cap,Direct,0.78,0.15443720834451846,0.11245222866621418,0.09880199138430035,0.08592088484593446,0.1552019281708006,0.1347978410610396,0.19294712720125948,0.11989100971217971,0.009054412621739154,-0.21117279560132118,2025-04-04,2025-09-12,18792,0.375,0.375,0.375,0.775,0.3,42.75,
118634,Nippon India MF,Nippon India Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,1.53,0.15811221971300937,0.08007927728656083,0.14274127320122987,0.12740641404379566,0.2134696587931458,0.292343251010993,0.4113036004766503,0.1750072167561127,0.1034966369133759,-0.2334488614483311,2025-04-09,2026-02-20,43630,0.35,0.45,0.575,0.3125,0.225,40.18750000000001,
120841,Kotak Mahindra MF,Kotak Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,1.59,0.16837098075385626,0.1726727508371786,0.1181544242649819,0.09405630002008192,0.11389383315023298,0.25511741256223125,0.37661934082629034,0.13042924450705445,0.036356399022199795,-0.1757361416468729,2024-01-09,2025-02-14,35585,0.475,0.425,0.4,0.15,0.425,39.375,
120507,ICICI Prudential MF,ICICI Pru Liquid Fund - Regular - Growth,Debt,Liquid,Regular,0.74,0.0742505077613469,0.07394286300360076,0.06341690270358713,0.04822542504748042,0.004595542446781668,-3.650183878568478,-7.2082337488982695,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,2025-10-16,2025-10-20,39116,0.3,0.075,0.25,0.85,1.0,38.625,
120844,Kotak Mahindra MF,Kotak Liquid Fund - Regular - Growth,Debt,Liquid,Regular,0.6,0.07120323042122512,0.06695971624586994,0.060604313665645115,0.04614907735094514,0.004712319548628601,-4.000348969233408,-7.76800307033234,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,2024-04-12,2024-04-30,27623,0.275,0.05,0.225,0.95,0.975,38.0,
118636,Nippon India MF,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Gilt,Regular,0.55,0.10454939683040276,0.040622050237771434,0.046639279794601585,0.03631211434065539,0.033727480304525666,-0.8505789759662293,-1.2383022198784406,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,2023-02-09,2024-02-09,30030,0.2,0.125,0.15,1.0,0.875,35.875,
119120,SBI Mutual Fund,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Gilt,Regular,0.77,0.055219955107626895,0.05840358798463097,0.051644356698553606,0.04004812909236466,0.03357814142204654,-0.7430986305648408,-1.045909778283203,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,2024-09-16,2025-04-01,24101,0.225,0.15,0.175,0.8,0.9,35.0,
100025,HDFC Mutual Fund,HDFC Short Term Debt Fund - Regular - Growth,Debt,Short Duration,Regular,0.56,0.03704968580461343,0.039163899571040384,0.03912652604315703,0.030640159178966238,0.03304017152036813,-1.0399413574427754,-1.4612200367895025,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,2023-05-23,2023-07-28,27953,0.175,0.1,0.075,0.975,0.925,33.125,
101208,Aditya Birla Sun Life MF,ABSL Liquid Fund - Regular - Growth,Debt,Liquid,Regular,0.79,0.0723664530138024,0.06315784491375509,0.05705734207350055,0.04352162036092684,0.00461860837197231,-4.650400707150913,-8.74165427899441,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,2023-09-05,2023-09-12,38995,0.25,0.025,0.2,0.75,0.95,32.875,
120842,Kotak Mahindra MF,Kotak Emerging Equity Fund - Regular - Growth,Equity,Mid Cap,Regular,1.56,0.2250195657587366,0.07756003551327284,0.05873842419478348,0.05619872413762051,0.15131095633895364,-0.05816681141492252,-0.08069596764131777,0.0780443887615508,0.01805687420811816,-0.24003511326274884,2023-11-09,2024-10-17,47469,0.325,0.3,0.3,0.2,0.2,28.249999999999996,
119599,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth,Equity,Small Cap,Direct,0.72,0.1394780335518997,-0.01337386614488112,0.01805621440370042,0.036273125844665105,0.2109507450893358,-0.13617811182970374,-0.1900354205037957,0.048824215945539845,0.06200180438267168,-0.5257422117012851,2023-01-17,2025-10-28,36061,0.075,0.25,0.125,0.8875,0.025,24.5625,
119092,Axis Mutual Fund,Axis Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,1.64,0.016091186722522632,0.005258871209757432,0.055825550357928355,0.04954548796260085,0.1179651178179341,-0.13100916883965183,-0.18918833169513885,0.0689952982167755,0.009730745001153637,-0.1440161790933726,2023-10-12,2025-02-07,25803,0.125,0.275,0.275,0.0375,0.65,23.1875,
101207,Aditya Birla Sun Life MF,ABSL Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,1.53,-0.23986031710270628,-0.04152381044854481,0.0695333570223926,0.07647758498249846,0.21812982654308152,0.05261813647585507,0.07566830445152783,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,2024-11-21,2026-05-11,41613,0.05,0.35,0.35,0.3125,0.075,22.6875,
119095,Axis Mutual Fund,Axis Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,1.38,-0.427976145588544,-0.11705806723995271,0.013376247776951455,0.032858414048511954,0.21193443362831077,-0.1516581586164415,-0.2163460093482832,0.048015953637759554,-0.066951174639292,-0.5167775370852656,2025-05-22,2026-05-11,21545,0.025,0.225,0.1,0.6,0.05,17.875000000000004,
102886,UTI Mutual Fund,UTI Mid Cap Fund - Regular - Growth,Equity,Mid Cap,Regular,1.51,-0.16797480944407306,-0.007674063178547241,0.010303498015576507,0.01978633056877262,0.15332441289191184,-0.29488891285108904,-0.4205889785291456,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,2025-01-07,2026-04-27,41728,0.1,0.2,0.025,0.4125,0.15,16.1875,
100016,HDFC Mutual Fund,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Large Cap,Regular,1.55,-0.02224270997710287,0.01292649342495622,0.023168434686413164,0.025513252110112662,0.1230042952202974,-0.32101926049954294,-0.4728224084369743,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,2022-03-30,2022-09-15,6434,0.15,0.175,0.05,0.225,0.175,15.0,
